field,Gini,M20,C,A,size,n,q,z.mode,mass
COSMOS,0.511647072504805,-1.78543684516715,3.9356660546567,0.0590993491163976,0.51893175246027,4.5277,0.8116,1.6,10.5095
COSMOS,0.470094026995206,-1.27132110330988,2.79868916450407,0.197886270671206,0.674483868846301,1.2174,0.524,1.92,10.2021
COSMOS,0.495618997931832,-1.61170248626206,3.26790367006888,0.168822376218236,0.52332955780515,3.2138,0.409,1.83,9.6588
COSMOS,0.511840216765015,-1.67846963507371,3.62521689940849,0.14344729233521,0.33681692866586,5.1536,0.6846,2,10.4415
COSMOS,0.373790151035399,-1.2622976689142,2.22575589160857,0.0501833177239743,0.709265073244737,0.2594,0.6379,1.8,10.3651
COSMOS,0.51223686734409,-1.77345170080506,4.24421218566454,0.0714542405697973,0.394771478548772,7.7768,0.4625,1.61,10.6257
COSMOS,0.49783476351828,-1.36949259611381,3.06954197726993,0.16086430464923,0.796766739394255,2.4624,0.3536,1.75,10.9577
COSMOS,0.460273862875705,-1.52138891194272,2.85611890307071,0.115040945928749,0.643176125244442,0.6023,0.3473,1.53,10.34
COSMOS,0.342904694024844,-1.07636328644826,2.97016188522043,0.223498666824601,0.978767303018821,0.5883,0.5212,1.96,10.9987
COSMOS,0.502970088163118,-1.7558700792885,3.56199659406063,0.0479779934900533,0.381485622223471,2.7252,0.7683,1.49,10.1395
COSMOS,0.311733306009769,-1.29238024284681,2.70779977496407,0.0255711946616574,0.437456173317619,2.0301,0.4622,2.05,10.3726
COSMOS,0.317113455776623,-1.57117874058075,2.65792365623673,0.0625095474432161,0.51893175246027,1.0643,0.4247,2.06,9.87423
COSMOS,0.237955250723067,-1.48605798702653,2.7175162549893,-0.0463209631295353,0.369274904699921,1.4112,0.7703,1.56,10.8239
COSMOS,0.250210678556048,-0.749626351082015,2.12951990124243,0.228708030601859,0.304662375115788,1.4743,0.3814,1.97,9.909
COSMOS,0.443454006030157,-1.64796214140082,3.03812197050775,0.328363123017891,0.831945320629928,2.9174,0.2689,1.7,9.69173
COSMOS,0.51533103606243,-1.62714996720533,3.20296680689541,0.172928759319069,0.568461253256354,1.4191,0.5034,1.98,10.574
COSMOS,0.490948200401148,-1.77182051241047,3.64222959802062,0.0880791033832542,0.57845254978814,2.3372,0.4524,1.65,11.328
COSMOS,0.487405062301256,-1.70633984356765,3.77486403807316,0.0712698777003449,0.36615860506154,2.0198,0.9899,1.64,10.0773
COSMOS,0.543516461682404,-1.61644285065129,3.28455559346691,0.291372245349634,0.752384410782981,1.6903,0.6766,1.63,10.2676
COSMOS,0.547571402372097,-1.77055035664517,4.07120484077015,0.203288595107688,0.609324750231577,7.6874,0.9688,1.84,10.8912
COSMOS,0.49731967463442,-1.81816210553858,3.5622694320997,0.0977409373616061,0.546885700177185,2.9617,0.5368,1.65,10.6111
COSMOS,0.464571625817661,-1.74314422989527,3.43285021859598,0.125268439325284,0.459182391439549,1.6098,0.2726,1.89,11.266
COSMOS,0.503719930512369,-1.40965678283858,3.07209504843463,0.266747807423047,0.99559880754063,1.8675,0.1699,1.88,10.6214
COSMOS,0.463146794056727,-1.75930105303411,3.41403999610145,0.0583575961732241,0.390393101251545,2.171,0.7976,1.8,10.7113
